epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,342.793,0.5174,4.48124,0.27306,0.39313,1.04993,0.99056,0.99898,0.9949,0.92825,0.86469,0.88571,0.83106,0.22359,0.40618,3.3178,0.12689,0.27243,0.93071,0.0009704,0.0009704,0.0009704
28,355.245,0.5032,4.40875,0.2773,0.36605,1.04136,0.98542,1,0.99481,0.92941,0.89518,0.9,0.86627,0.1996,0.39299,3.34389,0.12904,0.26348,0.92708,0.0009308,0.0009308,0.0009308
29,367.38,0.49314,4.44171,0.26585,0.3716,1.04066,0.98983,0.99524,0.99486,0.94534,0.90455,0.90952,0.899,0.22961,0.36089,3.32589,0.11871,0.24862,0.90731,0.0008912,0.0008912,0.0008912
30,379.872,0.48169,4.37315,0.26855,0.35092,1.02163,0.98931,1,0.9949,0.92725,0.87294,0.88571,0.84999,0.19721,0.40245,3.46595,0.11647,0.28116,0.93658,0.0008516,0.0008516,0.0008516
31,392.087,0.46928,4.29841,0.26138,0.33938,1.0228,0.98899,1,0.99476,0.92898,0.84748,0.85714,0.80312,0.20813,0.38674,3.30612,0.1065,0.26159,0.90513,0.000812,0.000812,0.000812
32,404.507,0.46961,4.16169,0.2551,0.3412,1.02119,0.98524,0.99524,0.99447,0.93871,0.85975,0.8619,0.81486,0.21673,0.39716,3.3269,0.09559,0.28205,0.92636,0.0007724,0.0007724,0.0007724
33,416.866,0.476,4.21485,0.26104,0.34572,1.02751,0.98982,0.99524,0.99481,0.93208,0.88561,0.89048,0.84666,0.22525,0.3767,3.21106,0.09695,0.26941,0.91433,0.0007328,0.0007328,0.0007328
34,429.181,0.44845,4.19747,0.2546,0.34104,1.01043,0.98759,1,0.99476,0.94576,0.90273,0.91429,0.88887,0.22612,0.35237,3.22073,0.10635,0.25138,0.88936,0.0006932,0.0006932,0.0006932
35,441.824,0.44697,4.10475,0.24759,0.33321,1.01337,0.98554,1,0.99443,0.94158,0.89168,0.90476,0.87959,0.24062,0.35614,3.25885,0.09218,0.24462,0.89493,0.0006536,0.0006536,0.0006536
36,454.566,0.43521,4.05786,0.24749,0.33101,1.00905,0.98546,1,0.99476,0.94254,0.89934,0.90476,0.88267,0.25256,0.35566,3.11149,0.09515,0.24699,0.89311,0.000614,0.000614,0.000614
